dest_ip,dest_port,metadata_comment
98.191.0.47,4145,proxylist.txt
68.71.249.158,4145,proxylist.txt
192.252.216.86,4145,proxylist.txt
199.116.112.6,4145,proxylist.txt
192.252.220.89,4145,proxylist.txt
199.102.106.94,4145,proxylist.txt
199.116.114.11,4145,proxylist.txt
192.111.134.10,4145,proxylist.txt
199.229.254.129,4145,proxylist.txt
199.58.185.9,4145,proxylist.txt
68.71.254.6,4145,proxylist.txt
68.71.249.153,48606,proxylist.txt
192.111.138.29,4145,proxylist.txt
141.101.122.245,80,proxylist.txt
23.227.38.143,80,proxylist.txt
141.101.122.118,80,proxylist.txt
103.21.244.149,80,proxylist.txt
103.21.244.135,80,proxylist.txt
185.238.228.223,80,proxylist.txt
192.252.215.2,4145,proxylist.txt
192.111.129.150,4145,proxylist.txt
5.10.245.81,80,proxylist.txt
156.225.72.224,80,proxylist.txt
45.131.5.36,80,proxylist.txt
185.162.230.90,80,proxylist.txt
172.67.70.155,80,proxylist.txt
103.160.204.238,80,proxylist.txt
45.131.4.40,80,proxylist.txt
31.43.179.55,80,proxylist.txt
159.112.235.141,80,proxylist.txt
172.67.185.204,80,proxylist.txt
45.12.31.189,80,proxylist.txt
40.177.65.8,80,proxylist.txt
66.235.200.1,80,proxylist.txt
172.67.137.73,80,proxylist.txt
172.67.68.152,80,proxylist.txt
172.67.167.23,80,proxylist.txt
45.131.4.7,80,proxylist.txt
172.67.181.194,80,proxylist.txt
66.235.200.141,80,proxylist.txt
172.67.180.245,80,proxylist.txt
172.67.177.251,80,proxylist.txt
172.67.180.42,80,proxylist.txt
141.101.122.133,80,proxylist.txt
172.67.254.244,80,proxylist.txt
172.67.179.192,80,proxylist.txt
163.53.204.178,9813,proxylist.txt
103.160.12.147,8199,proxylist.txt
202.136.89.134,11011,proxylist.txt
202.5.59.97,6969,proxylist.txt
70.166.167.38,57728,proxylist.txt
192.111.135.18,18301,proxylist.txt
192.252.215.5,16137,proxylist.txt
141.11.1.77,1080,proxylist.txt
66.235.200.248,80,proxylist.txt
172.67.101.185,80,proxylist.txt
45.131.7.110,80,proxylist.txt
172.67.129.111,80,proxylist.txt
159.112.235.84,80,proxylist.txt
172.67.170.9,80,proxylist.txt
185.238.228.251,80,proxylist.txt
45.12.31.223,80,proxylist.txt
172.67.93.72,80,proxylist.txt
172.67.170.5,80,proxylist.txt
